Month,Total TEUs
May-12,58221
Jun-12,53781
Jul-12,61933
Aug-12,63702
Sep-12,55367
Oct-12,53176
Nov-12,57737
Dec-12,60060
Jan-13,60050
Feb-13,47660
Mar-13,60681
Apr-13,55696
May-13,59087
Jun-13,59884
Jul-13,68477
Aug-13,64858
Sep-13,62635
Oct-13,51515
Nov-13,58335
Dec-13,56352
Jan-14,60013
Feb-14,56423
Mar-14,52092
Apr-14,64527
May-14,65343
Jun-14,65937
Jul-14,68208
Aug-14,69194
Sep-14,69207
Oct-14,74052
Nov-14,60009
Dec-14,65134
Jan-15,59680
Feb-15,53192
Mar-15,77772
Apr-15,58864
May-15,73544
Jun-15,79644
Jul-15,76529
Aug-15,86149
Sep-15,70978
Oct-15,71317
Nov-15,68729
Dec-15,63916
Jan-16,69116
Feb-16,71148
Mar-16,64900
Apr-16,69814
May-16,78723
Jun-16,78186
Jul-16,75001
Aug-16,78704
Sep-16,68516
Oct-16,68517
Nov-16,70785
Dec-16,76705
Jan-17,81028
Feb-17,67748
Mar-17,69909
Apr-17,77077
May-17,86403
Jun-17,87565
Jul-17,83477
Aug-17,88381
Sep-17,80583
Oct-17,88391
Nov-17,72337
Dec-17,79581
Jan-18,85922
Feb-18,80889
Mar-18,86977
Apr-18,78930
May-18,90152
Jun-18,81761
Jul-18,90842
Aug-18,90862
Sep-18,85558
Oct-18,85285
Nov-18,84435
Dec-18,79728
Jan-19,85266
Feb-19,84910
Mar-19,95962
Apr-19,92577
May-19,94533
Jun-19,83272
Jul-19,98538
Aug-19,87919
Sep-19,95730
Oct-19,90536
Nov-19,82538
Dec-19,81907
Jan-20,90290
Feb-20,79112
Mar-20,82837
Apr-20,90036
May-20,77527
Jun-20,77905
Jul-20,88258
Aug-20,86668
Sep-20,91580
Oct-20,103700
Nov-20,93686
Dec-20,90241
Jan-21,85166
Feb-21,81460
Mar-21,83647
Apr-21,85141
May-21,94335
Jun-21,95280
Jul-21,75060
Aug-21,96947
Sep-21,82316
Oct-21,74926
Nov-21,72335
Dec-21,96070
Jan-22,72777
Feb-22,85901
Mar-22,87845
Apr-22,75451
May-22,92203
Jun-22,98803
Jul-22,92118
Aug-22,99187
Sep-22,88105
Oct-22,99858
Nov-22,87933
Dec-22,89240
Jan-23,98966
Feb-23,85641
Mar-23,80575
Apr-23,95633
May-23,92418
Jun-23,95615
Jul-23,94822
Aug-23,102707
Sep-23,90200
Oct-23,104820
Nov-23,87186
Dec-23,97928
Jan-24,90427
Feb-24,92487
Mar-24,75099
Apr-24,2053
May-24,9938
Jun-24,24640
Jul-24,38537
Aug-24,70184
Sep-24,84143
Oct-24,72207
Nov-24,85966
Dec-24,95534
Jan-25,90706
Feb-25,90408
